label,prediction
2115.47998,2126.0317763554776
2113.860107,2106.3916277604285
2110.73999,2091.6619379094263
2104.5,2101.4589570107178
2117.389893,2110.8100288985456
2107.780029,2111.247147963422
2098.530029,2116.928866376243
2101.040039,2122.7813951362755
2071.26001,2109.518947554948
2079.429932,2084.159745894409
2044.160034,2077.4894506430355
2040.23999,2053.8341266430066
2065.949951,2049.7773313417947
2053.399902,2058.491993047503
2081.189941,2053.026590862798
2074.280029,2070.562718788566
2099.5,2074.1919244484625
2089.27002,2110.0177867120237
2108.100098,2092.839844227671
2104.419922,2102.4630683823684
2091.5,2108.1550533294344
2061.050049,2093.084405893423
2056.149902,2067.4979104500485
2061.02002,2058.693893308004
2086.23999,2055.6492341283197
2067.889893,2071.954072381349
2059.689941,2072.6078688677144
2066.959961,2050.6997348021805
2080.620117,2067.09174234626
2076.330078,2068.3955372956625
2081.899902,2072.911049249267
2091.179932,2065.5568995973263
2102.060059,2083.7575791686895
2092.429932,2095.340451982123
2095.840088,2093.9111750380844
2106.629883,2095.375145568576
2104.98999,2122.458882143936
2081.179932,2109.2587840847036
2100.399902,2088.173022702697
2097.290039,2088.580141879752
2107.959961,2102.528157412101
2112.929932,2105.1893287425887
2117.689941,2100.5835395293616
2108.919922,2115.613279524632
2114.76001,2127.405247279779
2106.850098,2116.9552037630615
2085.51001,2114.647548630272
2108.290039,2103.306256167185
2114.48999,2106.295394698716
2089.459961,2100.996632350128
2080.149902,2084.7907300307425
2088.0,2086.052989373568
2116.100098,2094.253978117754
2105.330078,2105.7812122425894
2099.120117,2098.292384587085
2098.47998,2108.6367633208065
2121.100098,2105.916405152868
2122.72998,2117.8726902432045
2129.199951,2116.5984576637393
2127.830078,2123.9128891081027
2125.850098,2135.516772399767
2130.820068,2125.696406523578
2126.060059,2134.143571974088
2104.199951,2124.3654325406224
2123.47998,2118.3657776384243
2120.790039,2103.3492011486483
2107.389893,2119.273574005039
2111.72998,2112.051436373254
2109.600098,2108.913128156257
2114.070068,2103.828307841911
2095.840088,2115.3283555545354
2092.830078,2098.9172974920125
2079.280029,2106.6932997072277
2080.149902,2084.8712667349323
2105.199951,2079.5113952918864
2108.860107,2096.19896031429
2094.110107,2108.538551493494
2084.429932,2093.8240147314855
2096.290039,2087.2861607123045
2100.439941,2102.6222620038006
2121.23999,2110.524070084655
2109.98999,2108.1142269025536
2122.850098,2106.0580696080515
2124.199951,2121.223902003402
2108.580078,2120.871387425056
2102.310059,2114.0083956215067
2101.48999,2110.657437769209
2057.639893,2106.3156724793753
2063.110107,2079.9613614168693
2077.419922,2056.9865305706794
2076.780029,2065.374052251184
2068.76001,2079.0244035903374
2081.340088,2067.463283603322
2046.680054,2062.4124266903214
2051.310059,2060.454612236951
2076.620117,2064.779010289578
2099.600098,2083.5322296883974
2108.949951,2080.4814874677077
2107.399902,2092.979656001763
2124.290039,2102.509455250616
2126.639893,2130.6393399519384
2128.280029,2118.3361148324893
2119.209961,2146.729113984451
2114.149902,2126.621452575107
2102.149902,2117.83087293673
2079.649902,2102.091556577173
2067.639893,2090.5756212869933
2093.25,2064.790619708337
2108.570068,2088.6870704692624
2108.629883,2106.174552520376
2103.840088,2099.2631419264876
2098.040039,2100.78362940939
2093.320068,2108.4347936993727
2099.840088,2106.46133618177
2083.560059,2087.8767546666327
2077.570068,2083.248655410015
2104.179932,2074.7627445609787
2084.070068,2108.362477891924
2086.050049,2093.5012110118596
2083.389893,2091.7601581457593
2091.540039,2088.8713880532605
2102.439941,2106.640536599622
2096.919922,2096.4444779107694
2079.610107,2098.8377779738444
2035.72998,2092.5948960378046
1970.890015,2043.722323344923
1893.209961,1999.9080678212295
1867.609985,1942.7995487404517
1940.51001,1904.8364350502425
1987.660034,1922.8954583274797
1988.869995,1965.100898767139
1972.180054,1958.6467364349244
1913.849976,1964.0803452367857
1948.859985,1942.0582037410627
1951.130005,1958.920228523352
1921.219971,1945.2347049030993
1969.410034,1941.223280213514
1942.040039,1934.9960276038112
1952.290039,1937.987048970662
1961.050049,1959.8105115275505
1953.030029,1963.7861386285922
1978.089966,1980.110108844011
1995.310059,1990.4886312821259
1990.199951,1977.4271723841803
1958.030029,1982.0041576529459
1966.969971,1944.340388432762
1942.73999,1931.5563582083391
1938.76001,1949.3994342868336
1932.23999,1938.7006390094302
1931.339966,1946.7527222398658
1881.77002,1963.0128807732792
1884.089966,1921.0193804998967
1920.030029,1896.2665206946979
1923.819946,1900.8197056728966
1951.359985,1897.6137473290735
1987.050049,1930.4534032711474
1979.920044,1965.8943413921788
1995.829956,1996.186286179018
2013.430054,2001.2366630202814
2014.890015,2024.343025338998
2017.459961,2040.0498657958647
2003.689941,2043.1113693864072
1994.23999,2017.518133113131
2023.859985,2000.891511982053
2033.109985,2009.4634752514442
2033.660034,2023.4743672229527
2030.77002,2018.614191386758
2018.939941,2019.612523297757
2052.51001,2030.3939270120425
2075.149902,2038.1718554337256
2071.179932,2042.5855527566232
2065.889893,2071.248261880487
2090.350098,2073.947252018711
2089.409912,2082.8677559480193
2079.360107,2080.460100911254
2104.050049,2070.9449469803917
2109.790039,2109.5941961779304
2102.310059,2125.5914847639347
2099.929932,2102.0532331816703
2099.199951,2081.4188734046274
2078.580078,2112.0895694079386
2081.719971,2100.297024723742
2075.0,2085.8119029296026
2045.969971,2078.922866017106
2023.040039,2077.8879431248733
2053.189941,2034.527855350381
2050.439941,2056.083041522523
2083.580078,2052.3696585139155
2081.23999,2055.2497771475255
2089.169922,2073.157046496481
2086.590088,2079.6793696915947
2089.139893,2085.5856922779512
2088.870117,2088.3839394106985
2090.110107,2096.2715669190766
2080.409912,2075.4813628287156
2102.629883,2095.6104550585233
2079.51001,2098.198734210463
2049.620117,2097.1906365406926
2091.689941,2062.2315467976014
2077.070068,2084.1758908943943
2063.590088,2077.5886719676805
2047.619995,2068.1111687736984
2052.22998,2033.5526851223758
2012.369995,2056.3354701278636
2021.939941,2020.205001875011
2043.410034,2008.198275735591
2073.070068,2030.5542546385684
2041.890015,2074.71522767458
2005.550049,2054.9594854872635
2021.150024,2010.0542653372513
2038.969971,2022.7760985202037
2064.290039,2041.9271429482978
2060.98999,2061.6889632341276
2056.5,2035.6794674997666
2078.360107,2060.7280445086226
2063.360107,2067.4092890691163
2043.939941,2083.291494339358
2012.660034,2055.484460745954
2016.709961,2041.399774286488
1990.26001,2030.793193826568
1943.089966,2007.0237069345494
1922.030029,1940.5381742762656
1923.670044,1930.4097060163579
1938.680054,1934.5932478130972
1890.280029,1929.4428846791125
1921.839966,1895.2821293625248
1880.329956,1924.7857314232497
1881.329956,1907.6979502750432
1859.329956,1880.8381081401035
1868.98999,1865.8777545490877
1906.900024,1881.2539369541635
1877.079956,1901.2340515379612
1903.630005,1867.2016801288166
1882.949951,1915.6450567997765
1893.359985,1893.4172427996116
1940.23999,1919.396615570446
1939.380005,1910.7952166862167
1903.030029,1941.6920336003666
1912.530029,1914.179889472705
1915.449951,1912.1331827821004
1880.050049,1901.0689900723921
1853.439941,1895.6385539528428
1852.209961,1872.5640146701721
1851.859985,1869.6751593641663
1829.079956,1852.2493611622972
1864.780029,1822.8488539403484
1895.579956,1864.005247469102
1926.819946,1863.0242258033165
1917.829956,1907.639772681104
1917.780029,1915.080936073489
1945.5,1925.4414761651171
1921.27002,1934.2399178920937
1929.800049,1942.449452138389
1951.699951,1944.6758611792677
1948.050049,1961.47251211344
1932.22998,1960.2667221800127
1978.349976,1943.1416173454045
1986.449951,1966.6895302382666
1993.400024,2000.8779839110045
1999.98999,1991.6609190386089
2001.76001,1974.2343712853203
1979.26001,1987.868455895993
1989.26001,1982.125241577766
1989.569946,1987.2047785414263
2022.189941,1983.627717832361
2019.640015,1997.745948049862
2015.930054,2030.6991442428298
2027.219971,2036.7642873635143
2040.589966,2007.2335961024855
2049.580078,2034.7016293376885
2051.600098,2060.8380729645387
2049.800049,2036.1230574093915
2036.709961,2027.6420901559284
2035.939941,2053.009969674382
2037.050049,2056.787889299367
2055.01001,2037.4033937507843
2063.949951,2055.930615378867
2059.73999,2073.015815376063
2072.780029,2087.390423036296
